element,item,year,unit,value,source
Yield,Asparagus,1980,kg/ha,3800.0,en_crops_livestock_product.csv
Production,Asparagus,1980,t,380.0,en_crops_livestock_product.csv
Area harvested,Asparagus,1981,ha,100.0,en_crops_livestock_product.csv
Yield,Asparagus,1981,kg/ha,4100.0,en_crops_livestock_product.csv
Production,Asparagus,1981,t,410.0,en_crops_livestock_product.csv
Area harvested,Asparagus,1982,ha,105.0,en_crops_livestock_product.csv
Yield,Asparagus,1982,kg/ha,4000.0,en_crops_livestock_product.csv
Production,Asparagus,1982,t,420.0,en_crops_livestock_product.csv
Area harvested,Asparagus,1983,ha,110.0,en_crops_livestock_product.csv
Yield,Asparagus,1983,kg/ha,4090.9,en_crops_livestock_product.csv
Production,Asparagus,1983,t,450.0,en_crops_livestock_product.csv
Area harvested,Asparagus,1984,ha,120.0,en_crops_livestock_product.csv
Yield,Asparagus,1984,kg/ha,4083.3,en_crops_livestock_product.csv
Production,Asparagus,1984,t,490.0,en_crops_livestock_product.csv
Area harvested,Asparagus,1985,ha,130.0,en_crops_livestock_product.csv
Yield,Asparagus,1985,kg/ha,4000.0,en_crops_livestock_product.csv
Production,Asparagus,1985,t,520.0,en_crops_livestock_product.csv
Area harvested,Asparagus,1986,ha,130.0,en_crops_livestock_product.csv
Yield,Asparagus,1986,kg/ha,4076.9,en_crops_livestock_product.csv
Production,Asparagus,1986,t,530.0,en_crops_livestock_product.csv
Area harvested,Asparagus,1987,ha,140.0,en_crops_livestock_product.csv
Yield,Asparagus,1987,kg/ha,4035.7,en_crops_livestock_product.csv
Production,Asparagus,1987,t,565.0,en_crops_livestock_product.csv
Area harvested,Asparagus,1988,ha,150.0,en_crops_livestock_product.csv
Yield,Asparagus,1988,kg/ha,4000.0,en_crops_livestock_product.csv
Production,Asparagus,1988,t,600.0,en_crops_livestock_product.csv
Area harvested,Asparagus,1989,ha,160.0,en_crops_livestock_product.csv
Yield,Asparagus,1989,kg/ha,3937.5,en_crops_livestock_product.csv
Production,Asparagus,1989,t,630.0,en_crops_livestock_product.csv
Area harvested,Asparagus,1990,ha,164.0,en_crops_livestock_product.csv
Yield,Asparagus,1990,kg/ha,3902.4,en_crops_livestock_product.csv
Production,Asparagus,1990,t,640.0,en_crops_livestock_product.csv
Area harvested,Asparagus,1991,ha,170.0,en_crops_livestock_product.csv
Yield,Asparagus,1991,kg/ha,3941.2,en_crops_livestock_product.csv
Production,Asparagus,1991,t,670.0,en_crops_livestock_product.csv
Area harvested,Asparagus,1992,ha,175.0,en_crops_livestock_product.csv
Yield,Asparagus,1992,kg/ha,4000.0,en_crops_livestock_product.csv
Production,Asparagus,1992,t,700.0,en_crops_livestock_product.csv
Area harvested,Asparagus,1993,ha,175.0,en_crops_livestock_product.csv
Yield,Asparagus,1993,kg/ha,4206.4,en_crops_livestock_product.csv
Production,Asparagus,1993,t,736.27,en_crops_livestock_product.csv
Area harvested,Asparagus,1994,ha,190.0,en_crops_livestock_product.csv
Yield,Asparagus,1994,kg/ha,3921.1,en_crops_livestock_product.csv
Production,Asparagus,1994,t,745.0,en_crops_livestock_product.csv
Area harvested,Asparagus,1995,ha,154.0,en_crops_livestock_product.csv
Yield,Asparagus,1995,kg/ha,4883.1,en_crops_livestock_product.csv
Production,Asparagus,1995,t,752.0,en_crops_livestock_product.csv
Area harvested,Asparagus,1996,ha,164.0,en_crops_livestock_product.csv
Yield,Asparagus,1996,kg/ha,4975.6,en_crops_livestock_product.csv
Production,Asparagus,1996,t,816.0,en_crops_livestock_product.csv
Area harvested,Asparagus,1997,ha,178.0,en_crops_livestock_product.csv
Yield,Asparagus,1997,kg/ha,4494.4,en_crops_livestock_product.csv
Production,Asparagus,1997,t,800.0,en_crops_livestock_product.csv
Area harvested,Asparagus,1998,ha,231.0,en_crops_livestock_product.csv
Yield,Asparagus,1998,kg/ha,5699.1,en_crops_livestock_product.csv
Production,Asparagus,1998,t,1316.5,en_crops_livestock_product.csv
Area harvested,Asparagus,1999,ha,250.0,en_crops_livestock_product.csv
Yield,Asparagus,1999,kg/ha,4932.0,en_crops_livestock_product.csv
Production,Asparagus,1999,t,1233.0,en_crops_livestock_product.csv
Area harvested,Asparagus,2000,ha,254.0,en_crops_livestock_product.csv
Yield,Asparagus,2000,kg/ha,6224.4,en_crops_livestock_product.csv
Production,Asparagus,2000,t,1581.0,en_crops_livestock_product.csv
Area harvested,Asparagus,2001,ha,338.0,en_crops_livestock_product.csv
Yield,Asparagus,2001,kg/ha,5997.0,en_crops_livestock_product.csv
Production,Asparagus,2001,t,2027.0,en_crops_livestock_product.csv
Area harvested,Asparagus,2002,ha,350.0,en_crops_livestock_product.csv
Yield,Asparagus,2002,kg/ha,6242.9,en_crops_livestock_product.csv
Production,Asparagus,2002,t,2185.0,en_crops_livestock_product.csv
Area harvested,Asparagus,2003,ha,354.0,en_crops_livestock_product.csv
Yield,Asparagus,2003,kg/ha,5974.6,en_crops_livestock_product.csv
Production,Asparagus,2003,t,2115.0,en_crops_livestock_product.csv
Area harvested,Asparagus,2004,ha,371.0,en_crops_livestock_product.csv
Yield,Asparagus,2004,kg/ha,5668.5,en_crops_livestock_product.csv
Production,Asparagus,2004,t,2103.0,en_crops_livestock_product.csv
Area harvested,Asparagus,2005,ha,472.0,en_crops_livestock_product.csv
Yield,Asparagus,2005,kg/ha,4591.1,en_crops_livestock_product.csv
Production,Asparagus,2005,t,2167.0,en_crops_livestock_product.csv
